id;a_ud_id;a_ud_utilisateur;a_ud_description;a_ud_datetime
1;35091;Frozen Metal program;SDD bypassing;2019-08-29
2;70096;Fantastic Fresh Salad;Steel Avon Visionary;2019-08-29
3;37427;transition open-source Interactions;Pennsylvania dynamic bandwidth;2019-08-29
4;77714;Oklahoma communities;array supply-chains Advanced;2019-08-29
5;46866;Handmade Wooden Cheese Fresh;input Naira;2019-08-30
6;96217;grow asymmetric;Cyprus web services auxiliary;2019-08-29
7;96987;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;2019-08-30
8;52309;Savings Account;heuristic Orchestrator Naira;2019-08-29
9;90115;Unbranded Plastic Chips Brand Regional;Generic B2B;2019-08-30
10;18812;Junctions one-to-one;analyzing holistic;2019-08-30
